Ax_RS,Ay_RS,Az_RS,Gx_RS,Gy_RS,Gz_RS,Ax_RA,Ay_RA,Az_RA,Gx_RA,Gy_RA,Gz_RA,Ax_RT,Ay_RT,Az_RT,Gx_RT,Gy_RT,Gz_RT,Ax_LT,Ay_LT,Az_LT,Gx_LT,Gy_LT,Gz_LT,Ax_LA,Ay_LA,Az_LA,Gx_LA,Gy_LA,Gz_LA,Ax_LS,Ay_LS,Az_LS,Gx_LS,Gy_LS,Gz_LS
0.00,0.00,0.99,-0.02,-0.11,-0.47,0.00,0.00,1.00,-0.25,-0.06,0.02,0.01,-0.00,1.01,-0.21,0.46,-0.14,-0.01,-0.01,1.00,0.02,-0.07,-0.69,0.00,0.01,0.99,0.02,0.19,-0.40,-0.00,-0.00,1.00,0.80,-0.10,0.50
-0.00,0.00,1.00,0.02,-0.01,-0.38,0.00,-0.00,1.00,-0.08,0.05,-0.02,-0.00,-0.01,0.99,0.13,0.47,-0.27,-0.00,-0.01,1.01,0.04,-0.27,-0.73,-0.00,0.01,1.00,0.10,0.12,-0.30,-0.01,0.01,1.01,0.82,-0.07,0.44
0.00,0.01,1.01,0.21,-0.05,-0.31,0.01,-0.00,1.00,-0.21,-0.10,-0.06,-0.00,-0.00,0.99,0.49,0.55,-0.27,0.00,-0.01,1.01,0.21,-0.21,-0.71,0.00,0.01,1.00,0.08,0.34,-0.36,0.00,0.00,1.00,0.93,0.16,0.44
0.00,0.01,1.00,0.34,0.07,-0.37,0.00,0.00,0.99,-0.19,-0.03,0.20,0.00,-0.01,0.98,0.78,0.47,-0.48,-0.01,-0.01,1.01,0.15,-0.11,-0.87,0.00,0.01,0.99,0.22,0.21,-0.46,-0.00,0.00,1.01,1.02,-0.03,0.27
-0.00,0.01,1.00,0.36,0.04,-0.51,0.00,0.00,1.01,0.03,-0.42,0.19,-0.01,-0.00,0.99,0.89,0.47,-0.46,-0.00,-0.01,1.01,0.04,-0.08,-0.85,-0.00,0.01,1.01,0.08,0.25,-0.39,-0.00,0.01,1.00,1.12,0.00,0.47
-0.01,0.01,1.00,0.43,-0.02,-0.31,-0.00,0.01,1.00,-0.02,-0.12,0.08,-0.00,0.00,1.00,0.66,0.22,-0.44,-0.00,-0.01,1.00,-0.22,-0.15,-0.98,-0.00,0.01,1.01,0.20,0.11,-0.32,0.00,0.01,1.00,0.79,-0.04,0.46
-0.00,0.01,0.99,0.58,-0.19,-0.34,-0.01,-0.00,1.00,-0.07,-0.11,0.24,-0.01,-0.00,1.00,0.79,-0.07,-0.42,-0.00,-0.00,1.00,-0.20,-0.14,-0.65,0.00,0.01,1.00,-0.02,0.25,-0.32,-0.00,0.01,1.00,0.98,0.01,0.47
-0.00,0.00,1.01,0.79,-0.18,-0.25,0.00,-0.00,1.00,0.06,-0.31,0.21,-0.00,-0.00,0.99,1.01,-0.01,-0.55,-0.01,0.00,1.00,-0.34,-0.10,-0.89,-0.00,0.01,1.00,0.14,0.13,-0.36,-0.00,0.01,1.00,0.64,-0.10,0.44
0.00,0.00,1.01,0.98,-0.06,-0.36,0.00,0.01,1.00,-0.04,-0.27,0.10,0.00,-0.00,1.00,0.69,0.02,-0.56,-0.00,0.01,1.00,-0.40,-0.08,-1.00,-0.00,0.01,1.00,-0.07,0.11,-0.28,0.00,0.00,1.00,0.60,0.02,0.37
-0.00,-0.00,0.99,0.93,-0.15,-0.20,0.00,0.00,1.00,-0.08,-0.40,0.14,0.01,-0.00,1.00,0.37,-0.27,-0.56,-0.00,-0.00,1.00,-0.58,-0.07,-1.01,-0.00,0.01,1.01,-0.15,0.27,-0.38,-0.01,0.01,1.00,0.46,0.10,0.40
0.00,0.00,1.00,0.82,-0.14,-0.11,0.00,0.01,1.00,-0.28,-0.25,0.10,-0.00,0.01,1.00,-0.15,-0.21,-0.57,-0.01,0.00,1.00,-0.69,-0.22,-0.97,0.00,0.01,1.00,-0.22,0.15,-0.40,0.00,0.00,1.00,0.38,-0.11,0.40
-0.00,0.00,1.00,0.89,-0.43,-0.15,0.00,0.01,1.01,-0.30,-0.60,0.18,0.01,-0.00,1.00,-0.12,-0.02,-0.32,-0.01,-0.00,1.00,-0.73,-0.12,-0.84,-0.00,0.01,1.00,-0.27,0.10,-0.33,-0.00,0.01,1.00,0.17,-0.18,0.27
-0.00,0.00,1.01,1.11,-0.65,-0.08,-0.01,0.00,1.00,-0.57,-0.73,-0.05,0.00,0.00,0.99,-0.22,0.11,-0.27,-0.00,-0.01,1.00,-0.56,-0.33,-1.06,0.00,0.01,1.00,-0.27,0.11,-0.31,0.01,0.00,1.00,0.13,0.08,0.34
-0.00,0.01,1.00,1.08,-0.93,0.13,-0.00,0.00,0.99,-0.44,-0.60,-0.05,0.01,-0.00,1.01,-0.27,0.27,-0.04,-0.01,-0.01,1.00,-0.65,-0.34,-0.95,0.00,0.01,0.99,-0.33,0.14,-0.45,0.00,0.01,1.00,0.11,0.13,0.29
-0.00,0.00,1.00,1.21,-1.06,0.06,0.01,0.01,1.00,-0.32,-0.71,-0.11,0.00,-0.00,0.99,-0.31,0.60,-0.23,-0.00,-0.01,1.01,-0.76,-0.09,-1.02,-0.00,0.01,1.00,-0.02,0.21,-0.26,0.00,-0.00,1.00,0.21,-0.02,0.24
0.00,0.01,1.00,1.20,-0.95,0.01,-0.00,0.00,1.00,-0.73,-0.89,-0.18,0.00,-0.01,1.00,-0.44,0.49,-0.23,-0.00,-0.01,1.00,-0.60,-0.17,-0.86,-0.00,0.01,1.00,-0.13,0.15,-0.34,0.00,-0.00,1.00,0.24,-0.05,0.37
0.00,0.01,1.01,1.15,-0.89,-0.06,-0.00,-0.00,1.00,-0.50,-0.51,-0.05,0.01,-0.01,1.00,-0.60,0.44,-0.21,-0.00,-0.01,1.00,-0.48,-0.11,-0.86,0.00,0.01,1.00,0.05,0.19,-0.31,-0.00,0.00,1.01,0.28,0.11,0.30
-0.00,0.01,1.00,1.21,-0.93,-0.05,0.00,0.00,1.00,-0.31,-0.46,0.04,0.00,0.00,0.99,0.04,0.43,-0.15,-0.00,-0.01,1.00,-0.27,0.07,-0.79,0.00,0.01,1.00,0.02,0.08,-0.18,0.00,0.00,1.01,0.38,0.07,0.55
0.00,0.01,1.00,1.02,-0.97,-0.02,-0.01,0.00,1.00,-0.36,-0.72,0.09,0.00,-0.01,0.99,0.19,0.43,-0.35,-0.01,-0.01,1.01,-0.20,0.02,-0.71,0.00,-0.00,1.00,0.13,0.08,-0.19,0.00,0.00,1.00,0.61,-0.04,0.50
-0.01,0.01,1.01,1.05,-0.49,-0.17,-0.01,-0.00,1.00,-0.38,-0.50,0.02,0.00,-0.01,1.00,0.47,0.40,-0.36,-0.00,-0.02,1.00,-0.23,-0.29,-0.78,0.00,0.01,1.01,0.23,0.10,-0.21,0.00,0.00,1.01,0.68,-0.05,0.40
0.00,0.01,1.01,1.04,-0.60,-0.02,0.00,0.01,1.00,-0.51,-0.42,0.10,-0.00,-0.01,0.99,0.95,0.54,-0.28,-0.01,-0.01,1.01,0.05,-0.12,-0.74,-0.00,0.00,1.01,0.18,0.19,-0.04,0.00,0.01,1.00,0.62,0.11,0.46
-0.01,0.01,1.00,1.05,-0.63,-0.24,0.00,0.00,1.00,-0.44,-0.63,0.05,0.00,-0.01,0.99,1.06,0.53,-0.16,-0.01,-0.01,0.99,0.22,-0.11,-0.82,0.00,0.01,1.00,0.08,0.23,-0.28,-0.01,0.00,1.00,0.70,0.10,0.48
-0.01,0.02,1.00,0.99,-0.48,-0.15,-0.00,-0.01,1.00,-0.18,-0.56,0.20,-0.00,-0.01,0.99,0.95,0.37,-0.16,-0.00,-0.01,1.01,0.30,-0.23,-0.80,-0.00,0.01,1.00,0.18,0.20,-0.28,-0.00,0.00,0.99,0.80,0.05,0.68
-0.00,0.01,1.00,0.98,-0.36,-0.42,0.00,-0.00,1.00,-0.25,-0.41,0.14,-0.01,-0.01,0.99,0.73,0.27,-0.23,-0.00,-0.01,1.00,0.23,0.08,-0.69,0.00,0.01,1.00,0.29,0.25,-0.24,0.00,0.00,1.00,1.08,0.18,0.66
-0.01,0.01,1.00,0.74,-0.15,-0.39,-0.00,0.01,1.00,-0.27,-0.40,-0.02,-0.01,-0.01,1.00,0.84,-0.23,-0.49,-0.01,-0.01,1.01,0.37,0.02,-0.67,-0.00,0.01,1.00,0.27,0.21,-0.13,-0.00,0.01,0.99,1.07,-0.18,0.55
0.00,0.01,0.99,0.58,-0.20,-0.38,-0.00,0.00,1.00,-0.37,-0.37,0.33,-0.00,-0.02,1.00,0.67,-0.24,-0.21,-0.01,-0.01,1.01,0.25,-0.05,-0.64,0.00,0.01,1.00,0.19,0.21,-0.07,-0.01,0.00,1.00,1.05,-0.05,0.53
-0.01,0.01,1.00,0.64,-0.12,-0.63,0.00,0.00,1.00,-0.11,-0.24,0.37,-0.00,-0.00,1.00,0.57,-0.32,-0.65,-0.00,-0.00,1.01,0.50,-0.31,-0.49,-0.01,0.01,1.01,0.34,0.24,-0.22,-0.00,0.01,1.00,0.91,-0.15,0.39
0.00,0.01,1.01,0.73,0.01,-0.58,0.00,-0.00,1.00,-0.18,-0.26,0.35,0.00,-0.01,0.99,0.34,-0.15,-0.56,-0.01,-0.01,1.01,0.44,-0.21,-0.51,-0.00,0.01,1.00,0.05,0.47,-0.15,-0.00,0.01,1.01,1.11,0.00,0.58
-0.01,0.01,1.00,0.82,-0.12,-0.46,-0.00,0.00,1.00,-0.05,-0.27,0.44,0.00,-0.01,1.01,0.11,0.02,-0.45,-0.01,0.00,1.01,0.28,-0.15,-0.51,-0.00,0.01,1.00,0.34,0.22,-0.18,-0.00,0.01,1.01,1.08,-0.02,0.58
-0.00,0.02,1.00,0.71,-0.24,-0.66,-0.01,0.00,1.00,-0.24,-0.09,0.24,-0.00,-0.01,1.00,0.24,0.28,-0.60,-0.00,-0.00,1.00,0.36,0.00,-0.54,-0.00,0.01,1.00,0.15,0.27,0.02,-0.01,0.01,1.00,1.07,0.15,0.54
-0.01,0.01,1.01,0.91,-0.08,-0.64,0.00,0.01,1.00,-0.05,-0.07,0.36,-0.00,-0.01,1.01,0.21,0.08,-0.84,-0.00,-0.00,1.00,0.11,-0.02,-0.28,-0.00,0.01,1.00,0.00,0.15,-0.26,0.00,0.01,1.00,0.98,-0.10,0.60
-0.00,0.01,1.00,0.93,-0.06,-0.57,-0.00,0.00,1.00,0.13,0.06,0.40,0.00,-0.01,1.00,0.18,-0.21,-0.65,0.00,-0.00,1.01,0.04,-0.11,-0.52,0.00,0.01,1.01,0.18,0.18,-0.28,-0.00,0.01,1.00,0.94,-0.07,0.40
-0.00,0.01,1.00,0.87,0.13,-0.52,0.00,0.00,1.00,0.11,-0.05,0.47,0.01,-0.00,1.00,0.57,-0.09,-0.66,0.00,-0.00,1.00,-0.05,-0.14,-0.28,-0.00,0.01,1.01,0.01,0.18,-0.42,0.00,0.02,1.01,0.98,-0.05,0.29
-0.01,0.00,1.00,0.92,0.11,-0.62,0.01,0.00,1.00,0.22,-0.06,0.49,-0.00,0.00,1.00,1.05,0.15,-0.50,0.00,0.01,0.99,-0.15,0.02,-0.52,-0.00,0.02,1.00,0.15,0.27,-0.38,0.00,0.01,1.00,0.94,-0.24,0.37
0.00,0.00,1.00,0.72,0.15,-0.58,0.00,0.01,1.01,0.06,0.12,0.27,-0.00,-0.01,1.00,1.43,-0.04,-0.61,-0.00,-0.00,1.01,-0.05,-0.24,-0.44,-0.00,0.01,1.00,0.05,0.31,-0.37,0.00,0.01,1.01,0.85,-0.02,0.28
-0.00,-0.00,1.00,0.89,0.27,-0.51,-0.01,0.01,1.00,0.27,0.20,0.47,0.01,-0.00,1.00,1.45,0.02,-0.53,-0.01,-0.00,1.01,-0.14,-0.17,-0.37,-0.01,0.01,1.00,-0.03,0.22,-0.40,0.00,0.00,1.00,0.59,0.07,0.09
-0.00,0.00,1.00,0.81,0.30,-0.60,-0.00,0.01,1.00,0.21,-0.20,0.40,0.00,-0.01,1.00,1.18,-0.21,-0.34,0.00,0.00,1.01,-0.03,-0.20,-0.16,0.00,0.01,1.01,-0.04,0.24,-0.37,0.00,0.01,1.01,0.77,0.05,0.42
-0.01,0.00,1.00,0.61,0.35,-0.59,0.00,0.01,1.00,0.38,-0.03,0.32,-0.00,-0.00,1.00,0.73,-0.24,-0.45,-0.00,-0.01,1.00,-0.02,-0.19,-0.27,-0.00,0.01,1.01,-0.03,0.27,-0.54,-0.00,0.01,1.00,0.77,0.00,0.17
0.00,0.00,1.00,0.51,0.24,-0.62,-0.00,0.00,1.00,0.11,0.37,0.44,0.00,0.00,1.00,0.81,-0.34,-0.51,-0.00,-0.00,1.00,0.06,-0.18,-0.40,-0.00,0.01,1.01,-0.03,0.32,-0.61,0.00,0.01,1.01,0.80,0.02,0.03
-0.00,-0.01,1.00,0.37,0.08,-0.59,-0.00,0.00,1.00,0.14,0.06,0.25,0.00,-0.01,0.98,0.59,-0.24,-0.45,-0.00,-0.00,1.01,0.14,-0.04,-0.47,0.00,0.01,1.00,0.08,0.21,-0.53,-0.00,0.01,1.01,1.05,0.20,0.15
0.00,-0.00,1.00,0.21,0.19,-0.80,0.01,0.01,0.99,-0.14,-0.02,0.19,0.01,0.00,0.98,0.40,0.22,-0.62,0.00,-0.01,1.01,0.37,-0.03,-0.45,-0.00,0.01,1.00,0.11,0.15,-0.59,0.00,0.00,1.00,0.96,0.02,0.27
0.01,0.00,1.01,0.23,0.31,-0.61,0.00,0.00,1.01,-0.09,0.03,-0.08,-0.00,-0.00,0.99,0.36,0.57,-0.44,-0.01,-0.01,1.00,0.30,0.08,-0.37,-0.00,0.01,1.01,0.04,0.23,-0.40,-0.00,0.00,1.01,1.12,0.00,0.14
-0.01,0.01,1.00,0.28,0.05,-0.53,-0.01,0.00,1.00,0.05,-0.03,0.26,-0.00,-0.01,1.01,0.49,0.25,-0.55,-0.01,-0.01,1.01,0.37,-0.13,-0.40,-0.00,0.00,1.00,0.21,0.31,-0.50,0.00,0.00,1.01,0.92,0.12,0.18
0.01,0.01,1.00,-0.12,0.25,-0.68,0.00,0.00,1.01,-0.07,0.10,0.44,0.01,-0.01,1.01,0.63,-0.08,-0.33,-0.01,-0.01,1.00,0.43,-0.02,-0.38,0.01,0.00,1.00,0.17,0.39,-0.58,0.00,0.00,1.01,1.08,0.15,0.07
-0.00,0.01,1.01,-0.13,0.03,-0.69,0.00,0.01,1.01,0.09,-0.02,0.42,0.00,-0.01,0.99,0.63,0.02,-0.46,-0.01,-0.01,1.02,0.31,-0.17,-0.37,-0.00,0.02,1.00,0.17,0.18,-0.41,0.00,0.00,1.00,1.04,0.03,0.30
-0.00,0.01,1.00,0.24,0.20,-0.76,0.00,0.00,1.00,-0.20,0.18,0.45,-0.01,-0.01,0.99,0.13,0.22,-0.51,-0.00,-0.01,1.01,0.45,-0.15,-0.60,-0.00,0.01,1.00,-0.02,0.27,-0.29,-0.00,0.00,1.01,1.05,0.08,0.12
0.00,0.01,0.99,0.08,0.48,-0.66,0.01,0.00,1.00,0.21,0.02,0.50,-0.00,-0.01,1.00,-0.05,-0.08,-0.59,0.00,-0.01,1.01,0.27,-0.18,-0.54,-0.00,0.01,1.01,0.12,0.38,-0.24,-0.00,-0.00,1.00,1.22,0.22,0.32
-0.01,0.01,1.00,0.08,0.54,-0.97,0.00,0.00,1.00,0.04,0.08,0.21,-0.00,-0.00,1.00,0.03,0.08,-0.48,0.00,-0.01,1.01,0.27,-0.12,-0.58,-0.00,0.01,1.00,0.02,0.29,-0.44,-0.00,0.00,1.01,0.96,0.15,0.34
-0.00,0.01,1.00,0.03,0.28,-0.86,-0.00,-0.00,1.00,0.14,0.12,0.37,-0.00,-0.00,0.99,0.34,-0.08,-0.40,0.00,-0.01,1.01,0.18,-0.24,-0.45,0.00,0.01,1.00,0.01,0.37,-0.49,-0.00,0.01,1.01,1.14,0.05,0.21
-0.00,0.01,1.00,0.07,0.40,-0.71,0.00,0.01,1.00,0.10,0.19,0.37,-0.00,-0.01,1.00,0.65,0.06,-0.27,-0.00,-0.00,1.00,0.07,-0.15,-0.58,0.00,0.01,1.00,0.24,0.31,-0.31,0.00,0.00,1.00,1.07,0.16,0.44
0.00,0.01,1.00,0.43,0.29,-0.63,-0.00,0.00,1.00,0.08,0.27,0.40,0.00,0.00,0.99,0.63,0.04,-0.56,-0.00,-0.01,1.00,0.02,-0.03,-0.70,-0.00,0.01,0.99,0.17,0.27,-0.47,0.00,0.00,0.99,0.92,0.09,0.38
0.00,0.02,0.99,0.25,0.29,-0.58,0.00,-0.00,1.00,0.25,0.06,0.37,-0.00,0.00,1.00,0.76,0.11,-0.61,-0.00,-0.00,1.01,-0.01,-0.09,-0.50,0.00,0.01,1.00,0.12,0.22,-0.56,0.00,-0.00,1.00,0.92,0.02,0.27
-0.00,0.01,1.00,0.23,0.32,-0.57,0.00,0.00,1.00,0.40,-0.11,0.56,-0.01,-0.00,1.00,1.01,-0.12,-0.50,-0.00,0.00,1.00,0.24,0.02,-0.70,-0.01,0.01,1.00,0.26,0.24,-0.29,0.01,0.01,1.00,1.04,-0.04,0.21
-0.00,0.00,0.99,0.56,0.20,-0.66,-0.00,0.01,1.01,0.57,0.15,0.46,-0.00,-0.01,1.01,1.18,-0.55,-0.34,-0.00,-0.00,1.01,0.07,-0.11,-0.73,-0.00,0.01,1.01,-0.13,0.26,-0.45,-0.00,0.01,1.00,0.88,0.08,0.28
-0.00,0.00,1.00,0.53,0.35,-0.56,-0.00,0.01,1.01,0.40,-0.02,0.49,0.00,-0.00,1.00,1.11,-0.28,-0.57,-0.00,0.00,1.01,0.13,0.04,-0.69,0.00,0.01,1.00,-0.09,0.20,-0.27,-0.00,0.00,1.01,0.97,0.25,0.31
0.01,0.00,1.00,0.66,0.47,-0.58,0.00,0.01,1.00,0.34,0.15,0.35,-0.00,-0.00,1.00,1.03,0.10,-0.21,-0.00,-0.00,1.01,0.08,-0.02,-0.60,-0.01,0.01,1.00,0.02,0.11,-0.37,0.00,0.00,1.00,0.76,0.08,0.35
-0.01,-0.00,1.01,0.53,0.37,-0.72,0.00,0.01,0.99,0.25,0.23,0.27,0.00,0.00,0.99,0.90,0.24,-0.52,-0.01,-0.01,0.99,0.18,0.09,-0.78,0.00,0.02,1.01,0.05,0.34,-0.27,-0.00,-0.00,1.01,0.71,0.18,0.36
0.01,0.00,0.99,0.57,0.38,-0.57,-0.00,0.01,1.00,-0.08,0.16,0.15,-0.00,0.01,1.00,0.41,0.11,-0.43,-0.00,-0.01,1.01,0.13,0.02,-0.75,0.00,0.01,1.00,-0.04,0.30,-0.40,0.01,0.01,1.00,0.59,0.07,0.40
-0.01,0.00,1.00,0.32,0.23,-0.59,-0.00,0.01,1.00,-0.09,-0.09,0.16,0.00,-0.00,0.99,0.39,0.12,-0.17,0.00,-0.00,1.00,0.07,-0.05,-0.76,-0.00,0.01,1.00,-0.03,0.05,-0.41,-0.00,0.00,1.01,0.82,-0.02,0.24
0.00,-0.00,1.00,0.25,0.07,-0.41,-0.00,0.00,1.00,-0.13,0.06,0.07,0.01,0.00,1.00,0.06,0.57,0.02,-0.00,-0.01,1.00,0.12,-0.15,-0.73,-0.00,0.01,1.00,0.19,0.22,-0.49,-0.00,0.00,0.99,0.69,0.05,0.12
-0.01,-0.01,1.00,0.35,0.00,-0.51,0.00,0.00,1.00,-0.08,-0.10,0.08,0.01,0.00,1.01,-0.13,0.37,0.11,0.00,-0.01,1.00,0.06,-0.04,-0.83,-0.00,0.01,1.01,0.18,0.27,-0.44,-0.00,-0.00,1.00,0.92,-0.05,0.15
0.00,-0.00,1.00,0.35,0.11,-0.17,-0.01,0.01,0.99,-0.42,0.15,0.01,0.00,0.00,1.00,-0.17,0.11,0.07,-0.00,-0.01,1.00,0.12,-0.17,-0.69,-0.01,0.01,1.00,0.27,0.53,-0.56,0.01,0.01,1.01,0.85,0.06,0.30
0.00,-0.01,1.00,0.53,0.11,-0.33,0.00,0.01,1.00,-0.36,-0.07,0.08,0.00,0.00,0.99,-0.02,0.06,0.53,-0.00,-0.00,1.01,0.07,-0.34,-0.84,0.00,0.01,1.00,0.33,0.26,-0.47,0.00,0.01,1.01,1.06,0.02,0.32
-0.00,0.01,1.01,0.56,-0.48,-0.27,0.00,0.01,1.00,-0.45,-0.14,-0.49,-0.00,0.01,0.99,-0.21,0.19,0.27,0.00,-0.01,1.01,0.30,-0.31,-0.68,-0.00,0.00,1.00,0.31,0.36,-0.60,0.01,0.00,1.00,1.08,0.08,0.20
0.01,0.00,1.01,0.00,-0.63,-0.33,0.00,0.01,1.00,-0.78,-0.20,-0.22,0.00,-0.00,1.00,0.05,0.42,0.47,-0.01,-0.01,1.01,0.39,-0.17,-0.85,0.00,0.01,1.00,0.51,0.20,-0.50,-0.01,0.01,1.00,1.01,0.09,0.20
-0.01,0.00,1.01,0.24,-0.63,-0.37,0.00,0.01,1.00,-0.64,-0.24,-0.18,0.00,0.00,1.01,0.02,0.49,0.42,-0.00,-0.00,1.00,0.34,-0.04,-0.83,0.00,0.00,0.99,0.41,0.28,-0.42,0.01,0.00,1.00,1.07,0.01,0.24
0.00,0.00,1.01,0.18,-0.67,-0.39,0.00,0.01,1.01,-0.79,-0.56,-0.28,0.00,-0.00,1.00,0.06,0.47,0.54,0.00,-0.01,1.01,0.49,0.05,-0.82,0.00,0.01,1.00,0.56,0.12,-0.51,0.00,0.00,0.99,1.49,0.11,0.20
0.00,0.01,1.01,-0.05,-0.58,-0.49,-0.01,-0.00,1.00,-0.44,-0.15,-0.17,0.00,-0.00,1.00,0.30,0.78,0.70,0.00,0.00,0.99,0.38,-0.14,-0.68,0.00,0.01,1.00,0.45,0.05,-0.50,0.00,0.01,1.00,1.56,0.11,0.15
0.00,0.00,0.99,-0.08,-0.64,-0.55,-0.00,0.01,1.01,-0.80,-0.37,-0.26,-0.00,-0.01,1.00,0.30,0.66,0.69,-0.00,0.00,1.00,0.68,0.05,-0.69,-0.00,0.01,1.00,0.63,-0.01,-0.57,-0.00,0.00,1.00,1.53,-0.10,0.10
0.00,0.01,1.00,-0.30,-0.53,-0.44,0.00,0.01,1.01,-0.81,-0.34,0.03,0.00,-0.01,1.00,0.00,0.88,0.66,-0.00,-0.00,1.00,0.50,-0.18,-0.75,-0.01,0.01,1.00,0.63,0.16,-0.61,0.00,0.01,1.00,1.74,0.00,0.28
-0.01,0.00,1.00,-0.40,-0.61,-0.50,-0.00,0.01,1.00,-0.91,-0.05,0.13,0.00,-0.01,1.00,-0.18,0.99,0.57,0.01,0.00,1.00,0.36,0.08,-0.79,0.00,0.01,1.00,0.76,0.31,-0.63,-0.00,0.01,0.99,1.82,0.00,0.03
-0.00,0.00,1.00,-0.37,-0.50,-0.53,-0.01,0.01,1.00,-0.91,-0.25,-0.15,0.00,0.00,0.99,-0.20,0.91,0.47,-0.00,0.00,1.01,0.47,0.14,-0.88,-0.01,0.01,1.00,0.80,0.10,-0.75,0.00,0.02,1.00,1.84,0.03,0.01
-0.01,0.00,1.00,-0.61,-0.49,-0.73,0.00,0.01,1.00,-0.96,-0.18,-0.07,0.00,0.00,1.00,-0.65,0.77,0.47,-0.00,0.00,1.01,0.40,-0.15,-0.59,-0.00,0.02,1.00,0.63,0.27,-0.60,-0.01,0.02,1.00,1.54,0.00,0.14
-0.00,0.01,1.01,-0.68,-0.37,-0.74,0.00,0.00,1.01,-0.96,0.08,-0.13,0.00,-0.01,0.99,-0.81,0.76,0.25,-0.01,0.00,1.01,0.21,0.08,-0.52,-0.00,0.02,1.01,0.46,0.29,-0.66,-0.00,0.02,1.00,1.30,-0.04,-0.02
-0.01,0.01,1.00,-0.66,-0.40,-0.77,-0.00,0.01,1.01,-0.95,0.05,0.12,0.00,0.00,0.99,-0.70,0.85,0.27,-0.01,0.01,1.01,-0.03,0.20,-0.82,0.00,0.01,1.00,0.61,0.37,-1.11,0.00,0.02,1.00,1.10,0.13,-0.23
